# D Nodes
00:02:c9:03:00:1a:a1:41	10.10.10.21 	D01
00:02:c9:03:00:1d:4b:c1	10.10.10.22 	D02
f4:52:14:03:00:7e:dd:31	10.10.10.23 	D03
f4:52:14:03:00:80:05:e1	10.10.10.24 	D04
00:02:c9:03:00:20:b9:d1	10.10.10.25 	D05
00:02:c9:03:00:36:63:21	10.10.10.26 	D06
00:02:c9:03:00:1a:9e:a1	10.10.10.27 	D07
00:02:c9:03:00:38:73:21	10.10.10.28 	D08
f4:52:14:03:00:70:67:71	10.10.10.29	  D09
00:02:c9:03:00:1a:a4:31	10.10.10.30 	D10


# F Nodes
f4:52:14:03:00:8f:1e:21	10.10.10.43 	F01
f4:52:14:03:00:7c:fa:01	10.10.10.44 	F02
f4:52:14:03:00:27:e2:71	10.10.10.45 	F03
f4:52:14:03:00:06:a5:a1	10.10.10.46 	F04
e4:1d:2d:03:00:b9:3f:c1	10.10.10.47 	F05
f4:52:14:03:00:94:6c:41	10.10.10.48 	F06
00:02:c9:03:00:ed:12:f1	10.10.10.49 	F07
f4:52:14:03:00:97:75:a1	10.10.10.50 	F08
f4:52:14:03:00:97:a1:b1	10.10.10.51 	F09

f4:52:14:03:00:79:8e:11	10.10.10.53 	F11
f4:52:14:03:00:81:c1:41	10.10.10.54 	F12
f4:52:14:03:00:98:a8:31	10.10.10.55	  F13
e4:1d:2d:03:00:2e:a8:21	10.10.10.56 	F14
00:02:c9:03:00:3d:8c:31	10.10.10.57 	F15
00:02:c9:03:00:ed:13:11	10.10.10.58 	F16
e4:1d:2d:03:00:2e:a2:31	10.10.10.59 	F17
f4:52:14:03:00:97:81:81	10.10.10.60 	F18
7c:fe:90:03:00:a3:59:e1	10.10.10.61 	F19
e4:1d:2d:03:00:01:18:81	10.10.10.62 	F20
00:02:c9:03:00:1a:9b:c1	10.10.10.63 	F21
f4:52:14:03:00:95:d9:31	10.10.10.64 	F22
f4:52:14:03:00:7e:87:a1	10.10.10.65 	F23
00:02:c9:03:00:ed:12:d1	10.10.10.66 	F24
e4:1d:2d:03:00:74:de:d1	10.10.10.67 	F25
00:02:c9:03:00:ed:20:81	10.10.10.68 	F26
e4:1d:2d:03:00:10:43:b1	10.10.10.69 	F27
f4:52:14:03:00:91:9b:71	10.10.10.70 	F28
7c:fe:90:03:00:a0:71:91	10.10.10.71 	F29
00:02:c9:03:00:3c:77:b1	10.10.10.72 	F30
f4:52:14:03:00:7c:59:d1	10.10.10.73	  F31
00:02:c9:03:00:ed:2a:c1	10.10.10.74	  F32
00:02:c9:03:00:41:a5:71	10.10.10.75	  F33
f4:52:14:03:00:94:79:f1	10.10.10.76	  F34
f4:52:14:03:00:8f:43:e1 10.10.10.77	  F35
f4:52:14:03:00:97:75:81	10.10.10.78	  F36
00:02:c9:03:00:1d:4a:01	10.10.10.79	  F37
00:02:c9:03:00:39:6b:51	10.10.10.80	  F38
e4:1d:2d:03:00:b9:53:c1	10.10.10.81	  F39
f4:52:14:03:00:91:9d:f1	10.10.10.82	  F40
7c:fe:90:03:00:a0:71:41	10.10.10.83 	F41
f4:52:14:03:00:7c:44:31	10.10.10.84	  F42
f4:52:14:03:00:27:e7:71	10.10.10.85	  F43
f4:52:14:03:00:92:0e:81 10.10.10.86   F44
f4:52:14:03:00:7c:4d:21	10.10.10.87	  F45
